[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
CRITICAL:autopilot:Potential Thrust Loss (4)
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: -0.07 m
[TAKEOFF] Alt: -0.07 m
[TAKEOFF] Alt: -0.09 m
[TAKEOFF] Alt: -0.10 m
[TAKEOFF] Alt: -0.12 m
[TAKEOFF] Alt: -0.12 m
[TAKEOFF] Alt: -0.10 m
[TAKEOFF] Alt: -0.06 m
[TAKEOFF] Alt: -0.03 m
[TAKEOFF] Alt: 0.04 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.12 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.19 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.16 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.19 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.13 m
[TAKEOFF] Alt: 0.12 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.16 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.23 m
[TAKEOFF] Alt: 0.25 m
[TAKEOFF] Alt: 0.25 m
[TAKEOFF] Alt: 0.23 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.19 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.17 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.13 m
[TAKEOFF] Alt: 0.12 m
[TAKEOFF] Alt: 0.10 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.06 m
[TAKEOFF] Alt: 0.07 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.09 m
[TAKEOFF] Alt: 0.10 m
[TAKEOFF] Alt: 0.12 m
[TAKEOFF] Alt: 0.13 m
[TAKEOFF] Alt: 0.16 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.23 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.21 m
[TAKEOFF] Alt: 0.19 m
[TAKEOFF] Alt: 0.19 m
[TAKEOFF] Alt: 0.20 m
[TAKEOFF] Alt: 0.24 m
[TAKEOFF] Alt: 0.29 m
[TAKEOFF] Alt: 0.31 m
[TAKEOFF] Alt: 0.32 m
[TAKEOFF] Alt: 0.33 m
[TAKEOFF] Alt: 0.34 m
[TAKEOFF] Alt: 0.39 m
[TAKEOFF] Alt: 0.43 m
[TAKEOFF] Alt: 0.48 m
[TAKEOFF] Alt: 0.52 m
[TAKEOFF] Alt: 0.55 m
[TAKEOFF] Alt: 0.56 m
[TAKEOFF] Alt: 0.55 m
[TAKEOFF] Alt: 0.54 m
[TAKEOFF] Alt: 0.54 m
[TAKEOFF] Alt: 0.53 m
[TAKEOFF] Alt: 0.55 m
[TAKEOFF] Alt: 0.56 m
[TAKEOFF] Alt: 0.57 m
[TAKEOFF] Alt: 0.57 m
[TAKEOFF] Alt: 0.57 m
[TAKEOFF] Alt: 0.60 m
[TAKEOFF] Alt: 0.60 m
[TAKEOFF] Alt: 0.58 m
[TAKEOFF] Alt: 0.56 m
[TAKEOFF] Alt: 0.56 m
